,Architecture,CPU(s),CPU MHz,CPU max MHz,CPU min MHz,L1d cache,L1i cache,L2 cache,L3 cache,hyper_thread,N,O1,O2,test_number,loss
8,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,1200,1,0,1,0.4568430756597422
9,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,1,8.306070404310281
10,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,1,10.19291872212573
11,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,100,1,0,1,20.641806060950216
12,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,150,1,0,1,9.422632587309826
13,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,200,1,0,1,11.29010875161484
14,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,100,1,0,1,24.6379635840894
15,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,500,1,0,1,13.142154325669274
16,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,1000,1,0,1,12.96609160292628
17,"0,0",0-3,3600.288,"3600,0000","800,0000",32K,32K,256K,3072K,1,1200,1,0,1,0.4568430756597422
18,"0,0",0-3,3600.182,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,3.952569169960473
19,"0,0",0-3,3600.182,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,0.17217630853994478
27,"0,0",0-3,3600.608,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,40.34534890074861
28,"0,0",0-3,3600.608,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,6.280209184934055
36,"0,0",0-3,3600.062,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,31.960559309787918
37,"0,0",0-3,3600.062,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,0.6720430107526885
45,"0,0",0-3,3599.972,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,11.857707509881418
46,"0,0",0-3,3599.972,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,3.7878787878787867
54,"0,0",0-3,3602.177,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,21.833239224543565
55,"0,0",0-3,3602.177,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,3.8866149648140165
63,"0,0",0-3,3600.103,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,7.905138339920948
64,"0,0",0-3,3600.103,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,1.8939393939393934
72,"0,0",0-3,2633.390,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,21.833239224543565
73,"0,0",0-3,2633.390,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,3.9600550964187313
81,"0,0",0-3,3600.260,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,11.857707509881418
82,"0,0",0-3,3600.260,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,1.9926755708746222
90,"0,0",0-3,3600.138,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,3,25.78580839450404
91,"0,0",0-3,3600.138,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,3,7.789595041827241
108,"0,0",0-3,3600.260,"3600,0000","800,0000",128KiB(4instances),128KiB(4instances),1MiB(4instances),16MiB(2instances),1,25,1,0,1,9.387535574675846
109,"0,0",0-3,3600.260,"3600,0000","800,0000",128KiB(4instances),128KiB(4instances),1MiB(4instances),16MiB(2instances),1,50,1,0,1,11.879288200385176
110,"0,0",0-3,3600.260,"3600,0000","800,0000",128KiB(4instances),128KiB(4instances),1MiB(4instances),16MiB(2instances),1,100,1,0,1,17.203672007726492
111,"0,0",0-3,3600.260,"3600,0000","800,0000",128KiB(4instances),128KiB(4instances),1MiB(4instances),16MiB(2instances),1,150,1,0,1,38.43054420561397
112,"0,0",0-3,3600.260,"3600,0000","800,0000",128KiB(4instances),128KiB(4instances),1MiB(4instances),16MiB(2instances),1,200,1,0,1,19.382662325440247
